Ilona R. Posner,1,24
Ilona Posner,2,13
India Starker,1,38
Ingrid U. Scott,2,16
Ingrid Towey,1,0
Ira S. Winkler,1,1
Irene Au,2,1
Irene Mavromati,1,1
Irvine R. Katz,1,3
Isabella Revett,1,27
Ishantha Lokuge,3,16
Akikazu Takeuchi,3,44
Israel Morales,1,11
Akiko Yamazaki,3,29
Itiro Siio,5,41
Ivan Vaghi,1,17
Akio Nagasaka,1,12
Akira Morishita,1,1
Akira Morshita,1,7
Akshay Rangnekar,3,122
J&#246;rg M. Haake,1,15
J&#252;rgen Koenemann,5,124
J&#252;rgen Koenemann-Belliveau,2,6
Al McFarland,1,0
J. M. Christian Bastien,2,1
J. S. Bechtold,1,1
J. Nicholas Buehler,1,2
Alain Karsenty,2,81
J. Eggen,1,0
J. R. Ensor,1,2
J. Gevins,1,3
J. M. Hary,1,0
J. I. Helfman,1,3
J. J. Hendrickson,1,4
J. M. Hennessey,1,0
J. Hollan,1,0
J. C. Jackson,1,1
J. F. Kelley,2,17
J. A. M. Kemp,1,7
J. Chris Lauwers,1,71
J. M. Manheimer,1,1
J. D. Moore,1,8
Alan McCord,1,0
Alan Munro,1,2
Alan F. Newell,3,10
J. Rygh,1,0
Alan J. Rosenthal,1,1
J. Sheffield,1,3
J. W. Sullivan,2,48
J. Gregory Trafton,1,0
Alan M. Wing,1,0
J. A. Wallers,1,1
J. H. D. M. Westerink,2,1
J. Zaback,1,3
Alben Faris,1,0
J. J. de Graaff,1,3
J. W. van Aalst,1,2
Albert N. Badre,1,1
Albert Badre,1,44
Albert T. Corbett,4,76
Albert Corbett,3,10
Jack Tigh Dennerlein,1,29
Jack Hyde,1,0
Jack Litewka,1,1
Jack Mama,1,1
Jack L. Moffett,1,5
Jack Muramatsu,1,0
Jack Maxwell Vice,1,1
Jackie De Vries,1,9
Jaclyn R. Schrier,1,0
Jacob O. Wobbrock,5,22
Jae Hun Roh,1,5
Jafar Nabkel,1,1
Jaime S&#225;nchez,2,26
Jakob E. Bardram,1,0
James A. Ballas,1,11
James Ballas,1,2
James Boardway,1,1
James M. Farber,1,7
James D. Foley,16,159
James L. Fozard,1,0
James Gill,1,0
James K. Habinek,1,1
James K. Hahn,1,17
James M. Hennessey,1,2
James D. Herbsleb,3,54
James Hicinbothom,1,1
Alberto Espinosa,1,9
James L. Meyers,1,17
James Newbery,1,1
James R. Osborn,1,3
James Patten,5,154
James Pitkow,6,375
James R. Rhyne,3,7
James Rhyne,1,0
Jamie Montemayor,1,27
Jan O. Borchers,2,20
Janak Bhalodia,1,90
Jane Manning,1,12
Jane Fulton Suri,1,4
Janette Coble,2,0
Janice Bradford,1,23
Janice A. Singer,1,14
Janusz Szczypula,1,12
Aleksandra Slavkovic,2,22
Jared Braiterman,1,0
Jarke J. van Wijk,1,0
Jarmo Laaksolahti,3,43
Jasdeep S. Chugh,1,11
Jason Brotherton,2,58
Jason Cassee,1,0
Jason B. Ellis,1,7
Jason Morphett,1,10
Jason E. Robbins,1,0
Jason Robbins,1,0
Jason Stewart,3,193
Jay Elkerton,2,31
Jay Lundell,4,19
Jay F. Nunamaker,1,0
Jayson Webb,1,5
Jean Gasen,4,9
Jean McKendree,1,1
Jean C. Scholtz,3,1
Jean M. Vanderdonckt,4,41
Jean Renaerd Ward,1,0
Jean-Daniel Fekete,3,59
Jean-David Sta,1,0
Jean-Fran&#231;ois Arcand,1,4
Jean-Michel Lunati,1,2
Alex Bertrand,1,9
Jeanette L. Blomberg,2,36
Jeanine Williamson,1,1
Alex Dennis,1,0
Jed Harris,1,7
Jeff A. Bauhs,3,17
Jeff D. Edey,1,12
Jeff Jensen,1,0
Jeff Klann,1,5
Jeff Spitulnik,1,27
Jeff Zacks,3,29
Jeffrey J. Hendrickson,1,15
Jeffrey McWhirter,1,0
Jeffrey S. Melton,1,0
Jeffrey L. Sokolov,1,21
Alex Osipovich,2,97
Jen-Hsien Chien,1,0
Alex Repenning,2,5
Jenna Burrell,2,6
Jennifer L. Boynton,1,8
Jennifer S. Kay,3,0
Jennifer Mankoff,15,309
Jens Bergqvist,1,3
Jeremiah Blatz,1,1
Jeremy R. Cooperstock,3,31
Jeremy Ginsberg,1,17
Jeremy Sussman,1,1
Jessica J. Baldis,1,14
Jiannchuan Tony Hu,1,1
Alexander Gr&#252;nsteidl,1,18
Jill Drury,4,3
Jill Hewitt,1,2
Jill H. Larkin,1,3
Jim M. Corban,1,1
Jim Eng,2,36
Jim Hines,1,67
Xianjun Sam Zheng,1,3
Ishani Chakraborty,1,3
James Jeng-Weei Lin,1,3
Robert Rauschenberger,1,3
George Chin,1,1
Olga A. Kuchar,1,1
Katherine E. Wolf,1,1
Georg Buscher,1,8
Edward Cutrell,1,8
Meredith Ringel Morris,1,8
Matthew Kam,1,7
Akhil Mathur,1,7
Anuj Kumar,1,7
John Canny,1,7
Olaf Frandsen-Thorlacius,1,2
Kasper Hornb&#230;k,1,2
Morten Hertzum,1,2
Torkil Clemmensen,1,2
Neil Patel,1,9
Sheetal Agarwal,1,9
Nitendra Rajput,1,9
Amit Nanavati,1,9
Paresh Dave,1,9
Tapan S. Parikh,1,9
Susan P. Wyche,1,1
Kelly E. Caine,1,1
Benjamin K. Davison,1,1
Shwetak N. Patel,1,1
Michael Arteaga,1,1
Rebecca E. Grinter,1,1
Tim Reichling,1,3
Volker Wulf,1,3
N. Sadat Shami,1,6
Kate Ehrlich,1,6
Geri Gay,1,6
Jeffrey T. Hancock,1,6
Mike Wu,1,1
Abhishek Ranjan,1,1
Khai N. Truong,1,1
Jan H. Pieper,1,1
Julia Grace,1,1
Stephen Dill,1,1
Scarlett R. Herring,1,8
Chia-Chen Chang,1,8
Jesse Krantzler,1,8
Brian P. Bailey,1,8
Elizabeth Gerber,1,3
Youn-kyung Lim,1,0
Sang-Su Lee,1,0
Kwang-young Lee,1,0
Jun Xiao,1,1
Jian Fan,1,1
Enrico Rukzio,1,5
Michael M&#252;ller,1,5
Robert Hardy,1,5
Marek Bell,1,5
Stuart Reeves,1,5
Barry Brown,1,5
Scott Sherwood,1,5
Donny MacMillan,1,5
John Ferguson,1,5
Matthew Chalmers,1,5
SeungJun Kim,1,4
Anind K. Dey,1,4
Hyunyoung Song,1,12
Tovi Grossman,1,12
George Fitzmaurice,1,12
Fran&#231;ois Guimbretiere,1,12
Azam Khan,1,12
Ramtin Attar,1,12
Gordon Kurtenbach,1,12
Chuan-Heng Hsiao,1,4
Li-Wei Chan,1,4
Ting-Ting Hu,1,4
Mon-Chu Chen,1,4
Jane Hsu,1,4
Yi-Ping Hung,1,4
Hideki Koike,1,4
Wataru Nishikawa,1,4
Kentaro Fukuchi,1,4
Shengdong Zhao,1,2
Koichi Nakamura,1,2
Kentaro Ishii,1,2
Takeo Igarashi,1,2
Brandi House,1,2
Jonathan Malkin,1,2
Jeff Bilmes,1,2
JaYoung Sung,1,2
Rebecca E. Grinter,1,2
Henrik I. Christensen,1,2
Daisuke Sakamoto,1,11
Koichiro Honda,1,11
Masahiko Inami,1,11
Takeo Igarashi,1,11
Jilin Chen,1,19
Werner Geyer,1,19
Casey Dugan,1,19
Michael Muller,1,19
Ido Guy,1,19
Eric Gilbert,1,32
Karrie Karahalios,1,32
Shailendra Rao,1,1
Tom Hurlbutt,1,1
Clifford Nass,1,1
Nundu JanakiRam,1,1
Asimina Vasalou,1,0
Jens Riegelsberger,1,0
Adam Joinson,1,0
Andrea Bunt,1,1
Michael Terry,1,1
Edward Lank,1,1
Kurt Luther,1,1
Scott Counts,1,1
Kristin B. Stecher,1,1
Aaron Hoff,1,1
Paul Johns,1,1
Grace Ngai,1,5
Stephen C.F. Chan,1,5
Joey C.Y. Cheung,1,5
Winnie W.Y. Lau,1,5
Stephen Voida,1,4
Elizabeth D. Mynatt,1,4
Ofer Bergman,1,0
Simon Tucker,1,0
Ruth Beyth-Marom,1,0
Edward Cutrell,1,0
Steve Whittaker,1,0
Gerard Oleksik,1,3
Max L. Wilson,1,3
Craig Tashman,1,3
Eduarda Mendes Rodrigues,1,3
Gabriella Kazai,1,3
Gavin Smyth,1,3
Natasa Milic-Frayling,1,3
Rachel Jones,1,3
Jean-Daniel Fekete,1,1
Niklas Elmqvist,1,1
Yves Guiard,1,1
Chris Harrison,1,10
Scott E. Hudson,1,10
Seungyon Lee,1,7
Shumin Zhai,1,7
Serge Egelman,1,4
Janice Tsai,1,4
Lorrie Faith Cranor,1,4
Alessandro Acquisti,1,4
Vassilis Kostakos,1,0
Ian Oakley,1,0
Oded Nov,1,4
Sunil Wattal,1,4
Suranga Nanayakkara,1,0
Elizabeth Taylor,1,0
Lonce Wyse,1,0
S H. Ong,1,0
Susumu Harada,1,3
Jacob O. Wobbrock,1,3
Jonathan Malkin,1,3
Jeff A. Bilmes,1,3
James A. Landay,1,3
P&#228;ivi Majaranta,1,2
Ulla-Kaija Ahola,1,2
Oleg &#352;pakov,1,2
Xiaojuan Ma,1,5
Perry R. Cook,1,5
Ron Wakkary,1,8
Karen Tanenbaum,1,8
Paul M. Aoki,1,10
R. J. Honicky,1,10
Alan Mainwaring,1,10
Chris Myers,1,10
Eric Paulos,1,10
Sushmita Subramanian,1,10
Allison Woodruff,1,10
Carl DiSalvo,1,5
Kirsten Boehner,1,5
Nicholas A. Knouf,1,5
Phoebe Sengers,1,5
John Zimmerman,1,6
Sunny Consolvo,1,17
David W. McDonald,1,17
James A. Landay,1,17
Amy L. Gonzales,1,1
Thomas Finley,1,1
Stuart Paul Duncan,1,1
Daniela Rosner,1,8
Jonathan Bean,1,8
David T. Nguyen,1,1
John Canny,1,1
Hideyuki Nakanishi,1,0
Yuki Murakami,1,0
Kei Kato,1,0
Souneil Park,1,6
Seungwoo Kang,1,6
Sangyoung Chung,1,6
Junehwa Song,1,6
Joshua Hailpern,1,4
Karrie Karahalios,1,4
James Halle,1,4
A. Taylor Newton,1,2
Adam D.I. Kramer,1,2
Daniel N. McIntosh,1,2
Cati Vaucelle,1,1
Leonardo Bonanni,1,1
Hiroshi Ishii,1,1
Rebecca Fiebrink,1,3
Dan Morris,1,3
Meredith Ringel Morris,1,3
Malte Weiss,1,18
Julie Wagner,1,18
Yvonne Jansen,1,18
Roger Jennings,1,18
Ramsin Khoshabeh,1,18
James D. Hollan,1,18
Jan Borchers,1,18
Cheng Guo,1,1
James Everett Young,1,1
Ehud Sharlin,1,1
Jeff Hancock,1,4
Jeremy Birnholtz,1,4
Natalya Bazarova,1,4
Jamie Guillory,1,4
Josh Perlin,1,4
Barrett Amos,1,4
Lauren E. Scissors,1,3
Alastair J. Gill,1,3
Kathleen Geraghty,1,3
Darren Gergle,1,3
Gilly Leshed,1,2
Diego Perez,1,2
Jeffrey T. Hancock,1,2
Dan Cosley,1,2
Jeremy Birnholtz,1,2
Soyoung Lee,1,2
Poppy L. McLeod,1,2
Geri Gay,1,2
Leonhard Lichtschlag,1,1
Thorsten Karrer,1,1
Jan Borchers,1,1
Daniel Vogel,1,6
Matthew Cudmore,1,6
G&#233;ry Casiez,1,6
Ravin Balakrishnan,1,6
Liam Keliher,1,6
Per Ola Kristensson,1,2
Leif C. Denby,1,2
Leonardo Bonanni,1,0
Xiao Xiao,1,0
Matthew Hockenberry,1,0
Praveen Subramani,1,0
Hiroshi Ishii,1,0
Maurizio Seracini,1,0
Jurgen Schulze,1,0
Thomas Beauvisage,1,2
Elaine M. Huang,1,2
Gunnar Harboe,1,2
Joe Tullio,1,2
Ashley Novak,1,2
Noel Massey,1,2
Crysta J. Metcalf,1,2
Guy Romano,1,2
David Geerts,1,2
Dirk De Grooff,1,2
Peter Pirolli,1,7
Raluca Budiu,1,4
Peter Pirolli,1,4
Lichan Hong,1,4
Yvonne Kammerer,1,13
Rowan Nairn,1,13
Peter Pirolli,1,13
Ed H. Chi,1,13
Katherine M. Sellen,1,2
Micheal A. Massimi,1,2
Danielle M. Lottridge,1,2
Khai N. Truong,1,2
Sean A. Bittle,1,2
Evangelos Karapanos,1,1
Jean-Bernard Martens,1,1
Marc Hassenzahl,1,1
Tovi Grossman,1,9
George Fitzmaurice,1,9
Ramtin Attar,1,9
David Akers,1,2
Matthew Simpson,1,2
Robin Jeffries,1,2
Terry Winograd,1,2
Hao-Chuan Wang,1,9
Susan F. Fussell,1,9
Leslie D. Setlock,1,9
Naomi Yamashita,1,5
Rieko Inaba,1,5
Hideaki Kuzuoka,1,5
Toru Ishida,1,5
Gloria J. Mark,1,7
Ban Al-Ani,1,7
Bryan Semaan,1,7
Christoph Bartneck,1,2
Jun Hu,1,2
Steve Benford,1,7
Gabriella Giannachi,1,7
Boriana Koleva,1,7
Tom Rodden,1,7
Effie Lai-Chong Law,1,18
Virpi Roto,1,18
Marc Hassenzahl,1,18
Arnold P.O.S. Vermeeren,1,18
Joke Kort,1,18
Evangelos Karapanos,1,8
John Zimmerman,1,8
Jodi Forlizzi,1,8
Jean-Bernard Martens,1,8
Erika Shehan Poole,1,8
Marshini Chetty,1,8
Tom Morgan,1,8
Rebecca E. Grinter,1,8
W. Keith Edwards,1,8
Susan P. Wyche,1,4
Rebecca E. Griner,1,4
F. Maxwell Harper,1,9
Daniel Moy,1,9
Joseph A. Konstan,1,9
Gary Hsieh,1,8
Scott Counts,1,8
Kevin Kyung Nam,1,11
Mark S. Ackerman,1,11
Lada A. Adamic,1,11
Kai-Yin Cheng,1,6
Sheng-Jie Luo,1,6
Bing-Yu Chen,1,6
Hao-Hua Chu,1,6
Nicholas Diakopoulos,1,3
Sergio Goldenberg,1,3
Irfan Essa,1,3
Edward Yu-Te Shen,1,1
Henry Lieberman,1,1
Glorianna Davenport,1,1
Theophanis Tsandilas,1,7
Catherine Letondal,1,7
Wendy E. Mackay,1,7
Sara Ljungblad,1,4
Susanne Seitinger,1,6
Daniel S. Perry,1,6
William J. Mitchell,1,6
Robert van Herk,1,5
Janneke Verhaegh,1,5
Willem F.J. Fontijn,1,5
Anind K. Dey,1,8
Alan Newberger,1,8
Clemens Nylandsted Klokmose,1,2
Michel Beaudouin-Lafon,1,2
Andrew Crabtree,1,9
Tom Rodden,1,9
Peter Tolmie,1,9
Graham Button,1,9
Katherine M. Everitt,1,4
Tanya Bragin,1,4
James Fogarty,1,4
Tadayoshi Kohno,1,4
Lujo Bauer,1,4
Lorrie Faith Cranor,1,4
Robert W. Reeder,1,4
Michael K. Reiter,1,4
Kami Vaniea,1,4
Henriette S.M. Cramer,1,0
Vanessa Evers,1,0
Maarten W. van Someren,1,0
Bob J. Wielinga,1,0
Alexander De Luca,1,7
Emanuel von Zezschwitz,1,7
Heinrich Hu&#223;mann,1,7
Brandon T. Taylor,1,7
V. Michael Bove,1,7
Anne Roudaut,1,7
Eric Lecolinet,1,7
Yves Guiard,1,7
Sven Kratz,1,3
Raphael Ballagas,1,3
Chris Harrison,1,1
Brian Y. Lim,1,1
Aubrey Shick,1,1
Scott E. Hudson,1,1
Moira Burke,1,17
Cameron Marlow,1,17
Thomas Lento,1,17
Jahna Otterbacher,1,4
Jens Binder,1,3
Andrew Howes,1,3
Alistair Sutcliffe,1,3
Michael S. Horn,1,6
Erin Treacy Solovey,1,6
R. Jordan Crouser,1,6
Robert J.K. Jacob,1,6
Paula M. Bach,1,4
Robert DeLine,1,4
John M. Carroll,1,4
Koji Yatani,1,1
Eunyoung Chung,1,1
Carlos Jensen,1,1
Khai N. Truong,1,1
Xiaojun Bi,1,10
Ravin Balakrishnan,1,10
Gene Golovchinsky,1,1
Pernilla Qvarfordt,1,1
Bill van Melle,1,1
Scott Carter,1,1
Tony Dunnigan,1,1
Atsuhiko Maeda,1,0
Hirohito Inagaki,1,0
Masanobu Abe,1,0
Patti Bao,1,0
Darren Gergle,1,0
Marshini Chetty,1,8
A.J. Bernheim Brush,1,8
Brian R. Meyers,1,8
Paul Johns,1,8
Jon Froehlich,1,23
Tawanna Dillahunt,1,23
Predrag Klasnja,1,23
Jennifer Mankoff,1,23
Sunny Consolvo,1,23
Beverly Harrison,1,23
James A. Landay,1,23
William Odom,1,11
James Pierce,1,11
Erik Stolterman,1,11
Eli Blevis,1,11
Feng Wang,1,6
Xiangshi Ren,1,6
Justin Matejka,1,8
Tovi Grossman,1,8
Jessica Lo,1,8
George Fitzmaurice,1,8
Jacob O. Wobbrock,1,42
Meredith Ringel Morris,1,42
Andrew D. Wilson,1,42
Clifton Forlines,1,3
Ravin Balakrishnan,1,3
Fuqu Wu,1,2
Melanie Tory,1,2
Robin Stewart,1,0
m.c. schraefel,1,0
Sean White,1,1
Steven Feiner,1,1
Steven R. Haynes,1,2
John M. Carroll,1,2
Thomas G. Kannampallil,1,2
Lu Xiao,1,2
Paula M. Bach,1,2
Salu Ylirisku,1,1
Virtu Halttunen,1,1
Johanna Nuojua,1,1
Antti Juustila,1,1
Christopher A. Le Dantec,1,7
Erika Shehan Poole,1,7
Susan P. Wyche,1,7
Nicolas Ducheneaut,1,9
Ming-Hui Wen,1,9
Nicholas Yee,1,9
Greg Wadley,1,9
Carman Neustaedter,1,0
Elena Fedorovskaya,1,0
Ben Bedwell,1,1
Holger Schn&#228;delbach,1,1
Steve Benford,1,1
Tom Rodden,1,1
Boriana Koleva,1,1
Edith Law,1,14
Luis von Ahn,1,14
Severin Hacker,1,10
Luis von Ahn,1,10
Derek L. Hansen,1,5
Jennifer Golbeck,1,5
Anne Marie Piper,1,11
James D. Hollan,1,11
Daniel Wigdor,1,13
Hao Jiang,1,13
Clifton Forlines,1,13
Michelle Borkin,1,13
Chia Shen,1,13
Hao Jiang,1,0
Alain Viel,1,0
Meekal Bajaj,1,0
Robert A. Lue,1,0
Chia Shen,1,0
Stuart Taylor,1,3
Shahram Izadi,1,3
David Kirk,1,3
Richard Harper,1,3
Armando Garcia-Mendoza,1,3
Marc A. Le Pape,1,0
Ravi K. Vatrapu,1,0
Timothy W. Bickmore,1,6
Laura M. Pfeifer,1,6
Brian W. Jack,1,6
Kevin Kassil,1,0
A. James Stewart,1,0
Leonardo Ramirez,1,5
Sebastian Denef,1,5
Tobias Dyrks,1,5
Justin Talbot,1,3
Bongshin Lee,1,3
Ashish Kapoor,1,3
Desney S. Tan,1,3
Bongshin Lee,1,7
Greg Smith,1,7
George G. Robertson,1,7
Mary Czerwinski,1,7
Desney S. Tan,1,7
Jeffrey Heer,1,3
Nicholas Kong,1,3
Maneesh Agrawala,1,3
Bernhard Suhm,1,0
Pat Peterson,1,0
Walter C. Mankowski,1,1
Peter Bogunovich,1,1
Ali Shokoufandeh,1,1
Dario D. Salvucci,1,1
William Hudson,1,0
Drew Harry,1,0
Joshua Green,1,0
Judith Donath,1,0
Cristen Torrey,1,13
Elizabeth F. Churchill,1,13
David W. McDonald,1,13
Eytan Adar,1,9
Jaime Teevan,1,9
Susan T. Dumais,1,9
Olivier Chapuis,1,4
Jean-Baptiste Labrune,1,4
Emmanuel Pietriga,1,4
Jacob O. Wobbrock,1,5
James Fogarty,1,5
Shih-Yen (Sean) Liu,1,5
Shunichi Kimuro,1,5
Susumu Harada,1,5
Kari-Jouko R&#228;ih&#228;,1,3
Oleg &#352;pakov,1,3
Renaud Blanch,1,7
Micha&#235;l Ortega,1,7
Sarah Diefenbach,1,2
Marc Hassenzahl,1,2
Christian Heath,1,1
Paul Luff,1,1
Dirk Vom Lehn,1,1
Jun Yamashita,1,1
Hideaki Kuzuoka,1,1
Keiichi Yamazaki,1,1
Christian Heath,1,1
Akiko Yamazaki,1,1
Mai Okada,1,1
Yoshinori Kuno,1,1
Yoshinori Kobayashi,1,1
Yosuke Hoshi,1,1
Karola Pitsch,1,1
Paul Luff,1,1
Dirk vom Lehn,1,1
Scott S. Snibbe,1,4
Hayes S. Raffle,1,4
Sungjoon Steve Won,1,3
Jing Jin,1,3
Jason I. Hong,1,3
Mark Blythe,1,8
Paul Cairns,1,8
Max G. Van Kleek,1,6
Michael Bernstein,1,6
Katrina Panovich,1,6
Gregory G. Vargas,1,6
David R. Karger,1,6
MC Schraefel,1,6
Jennifer Thom-Santelli,1,11
Dan R. Cosley,1,11
Geri Gay,1,11
Michel Krieger,1,3
Emily Margarete Stark,1,3
Scott R. Klemmer,1,3
Aniket Kittur,1,8
Bryant Lee,1,8
Robert E. Kraut,1,8
Peter Pirolli,1,3
Evelin Wollny,1,3
Bongwon Suh,1,3
Aniket Kittur,1,4
Ed H. Chi,1,4
Bongwon Suh,1,4
Stavros Garzonis,1,3
Simon Jones,1,3
Tim Jay,1,3
Eamonn O'Neill,1,3
Volker Roth,1,5
Thea Turner,1,5
Lorna M. Brown,1,2
Abigail Sellen,1,2
Renan Krishna,1,2
Richard Harper,1,2
Jaakko Ker&#228;nen,1,2
Janne Bergman,1,2
Jarmo Kauko,1,2
Minwoo Choi,1,1
Gerard Jounghyun Kim,1,1
Florian 'Floyd' Mueller,1,8
Martin R. Gibbs,1,8
Frank Vetere,1,8
Annika Waern,1,1
Markus Montola,1,1
Jaakko Stenros,1,1
Amy Voida,1,10
Saul Greenberg,1,10
Andrew J. Ko,1,10
Brad A. Myers,1,10
Mikkel R&#248;nne Jakobsen,1,1
Kasper Hornb&#230;k,1,1
Joel Brandt,1,10
Philip J. Guo,1,10
Joel Lewenstein,1,10
Mira Dontcheva,1,10
Scott R. Klemmer,1,10
Jeff Sauro,1,4
Joseph S. Dumas,1,4
Jeff Sauro,1,7
James R. Lewis,1,7
Anders Bruun,1,1
Peter Gull,1,1
Lene Hofmeister,1,1
Jan Stage,1,1
Duncan P. Brumby,1,1
Dario D. Salvucci,1,1
Andrew Howes,1,1
Stina Nylander,1,3
Ter&#233;s Lundquist,1,3
Andreas Br&#228;nnstr&#246;m,1,3
Leila Takayama,1,0
Jo Ann G. Sison,1,0
Brian Lathrop,1,0
Nicholas Wolfe,1,0
Abe Chiang,1,0
Alexia Nielsen,1,0
Clifford Nass,1,0
Amy K. Karlson,1,5
A.J. Bernheim Brush,1,5
Stuart Schechter,1,5
Dean Eckles,1,2
Doug Wightman,1,2
Claire Carlson,1,2
Attapol Thamrongrattanarit,1,2
Marcello Bastea-Forte,1,2
B. J. Fogg,1,2
Leah Findlater,1,5
Karyn Moffatt,1,5
Joanna McGrenere,1,5
Jessica Dawson,1,5
Jason Alexander,1,2
Andy Cockburn,1,2
Stephen Fitchett,1,2
Carl Gutwin,1,2
Saul Greenberg,1,2
Guillaume Faure,1,3
Olivier Chapuis,1,3
Nicolas Roussel,1,3
Stephen Voida,1,2
Saul Greenberg,1,2
Jessie Chin,1,3
Wai-Tat Fu,1,3
Thomas Kannampallil,1,3
Si&#226;n E. Lindley,1,9
Richard Harper,1,9
Abigail Sellen,1,9
Chiara Leonardi,1,4
Claudio Mennecozzi,1,4
Elena Not,1,4
Fabio Pianesi,1,4
Massimo Zancanaro,1,4
Francesca Gennai,1,4
Antonio Cristoforetti,1,4
Ruth Rosenholtz,1,1
Nathaniel R. Twarog,1,1
Nadja Schinkel-Bielefeld,1,1
Martin Wattenberg,1,1
Helena M. Mentis,1,1
Paula M. Bach,1,1
Blaine Hoffman,1,1
Mary Beth Rosson,1,1
John M. Carroll,1,1
Bradley C. Love,1,1
Matt Jones,1,1
Marc T. Tomlinson,1,1
Michael Howe,1,1
Julie A. Kientz,1,7
Rosa I. Arriaga,1,7
Gregory D. Abowd,1,7
Daniela Petrelli,1,9
Elise van den Hoven,1,9
Steve Whittaker,1,9
Otmar Hilliges,1,1
Julia Schwarz,1,1
Jennifer Mankoff,1,1
H. Scott Matthews,1,1
Indrani Medhi,1,10
S.N. Nagasena Gautama,1,10
Kentaro Toyama,1,10
Leah Findlater,1,2
Ravin Balakrishnan,1,2
Kentaro Toyama,1,2
David M. Frohlich,1,4
Dorothy Rachovides,1,4
Kiriaki Riga,1,4
Ramnath Bhat,1,4
Maxine Frank,1,4
Eran Edirisinghe,1,4
Dhammike Wickramanayaka,1,4
Matt Jones,1,4
Will Harwood,1,4
Sharoda A. Paul,1,11
Meredith Ringel Morris,1,11
Heather Wiltse,1,2
Jeffrey Nichols,1,2
Lichan Hong,1,4
Ed H. Chi,1,4
Les Nelson,1,6
Christoph Held,1,6
Peter Pirolli,1,6
Lichan Hong,1,6
Diane Schiano,1,6
Ed H. Chi,1,6
Jing Jin,1,3
Laura A. Dabbish,1,3
Yves Guiard,1,1
Dario D. Salvucci,1,4
Niels A. Taatgen,1,4
Jelmer P. Borst,1,4
Jeffrey P. Bigham,1,3
Anna C. Cavender,1,3
Martin Talbot,1,0
William Cowan,1,0
Raphael Hoffmann,1,9
Saleema Amershi,1,9
Kayur Patel,1,9
Fei Wu,1,9
James Fogarty,1,9
Daniel S. Weld,1,9
Michael Toomim,1,1
Steven M. Drucker,1,1
Mira Dontcheva,1,1
Ali Rahimi,1,1
Blake Thomson,1,1
James A. Landay,1,1
John Zimmerman,1,0
Kathryn Rivard,1,0
Ian Hargraves,1,0
Anthony Tomasic,1,0
Ken Mohnkern,1,0
